name, num. of atoms, atomic types, rmsd, max. deviation, av. deviation, pearson**2
NSC_10021,53,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0562,0.1595,0.0431,0.9772
NSC_10005,21,"C~2, H~1, N~1, N~2, O~2",0.0563,0.1481,0.0417,0.9884
NSC_100441,34,"C~1, C~2, H~1, N~1, N~2, O~1, O~2, S~1",0.0563,0.1215,0.0415,0.9863
NSC_100991,29,"C~1, C~2, H~1, N~2, O~2",0.0563,0.2145,0.0395,0.9614
NSC_101034,35,"C~1, C~2, H~1, N~2, O~2",0.0563,0.2157,0.0414,0.9621
NSC_100429,33,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0565,0.1212,0.0444,0.9862
NSC_10095,36,"C~1, C~2, H~1, O~1, O~2",0.0566,0.1942,0.0401,0.9716
NSC_1011,46,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0567,0.1599,0.0441,0.9831
NSC_100270,50,"C~1, C~2, H~1, O~2",0.0568,0.2406,0.0406,0.9498
NSC_10040,28,"C~1, C~2, H~1, N~1, O~2",0.0568,0.1625,0.0423,0.9734
NSC_100596,36,"C~1, C~2, H~1, N~1, N~2",0.0568,0.235,0.0368,0.9703
NSC_10150,34,"C~1, C~2, H~1, N~2, O~1, O~2",0.0568,0.1242,0.0458,0.9768
NSC_10171,29,"C~1, C~2, H~1, N~2, O~1, O~2",0.0568,0.1347,0.0463,0.9723
NSC_10188,38,"C~1, C~2, H~1, N~1, O~1, O~2",0.0568,0.1715,0.0439,0.9834
NSC_101846,20,"C~1, C~2, H~1, O~1",0.0569,0.0992,0.0472,0.973
NSC_100417,12,"C~2, H~1, N~1, O~1, O~2",0.057,0.1148,0.0471,0.9924
NSC_100716,53,"C~1, C~2, H~1, N~1, O~1",0.057,0.2357,0.0444,0.9517
NSC_100959,23,"C~2, H~1, O~1, O~2",0.057,0.1037,0.0464,0.9693
NSC_10136,27,"C~1, C~2, H~1, N~2, O~1, O~2",0.057,0.1174,0.0481,0.9827
