name, num. of atoms, atomic types, rmsd, max. deviation, av. deviation, pearson**2
NSC_100202,33,"C~1, C~2, H~1, N~1, O~2",0.0557,0.2214,0.0337,0.9697
NSC_100416,18,"C~1, C~2, H~1, N~1, O~1, O~2",0.0557,0.095,0.0512,0.9896
NSC_100747,28,"C~1, C~2, H~1, N~1, O~1",0.0558,0.2269,0.0347,0.9557
NSC_100441,34,"C~1, C~2, H~1, N~1, N~2, O~1, O~2, S~1",0.0562,0.1412,0.0434,0.9864
NSC_100296,45,"C~1, C~2, H~1, N~1",0.0566,0.25,0.0313,0.9587
NSC_10023,52,"C~1, C~2, H~1, O~1, O~2",0.0569,0.177,0.0383,0.9714
NSC_1004,25,"C~1, C~2, H~1, N~1, O~1, O~2",0.0578,0.14,0.0433,0.9861
NSC_100724,20,"C~1, C~2, H~1, N~1, O~2, S~2",0.0581,0.1545,0.0424,0.978
NSC_100000,29,"C~1, C~2, H~1, N~1, O~2",0.0582,0.1552,0.0395,0.97
NSC_100752,32,"C~1, C~2, H~1, N~1, O~1",0.06,0.2258,0.0418,0.9602
NSC_100192,29,"C~1, C~2, H~1, N~1, O~2",0.0605,0.2364,0.0351,0.9894
NSC_100046,46,"C~1, C~2, H~1, O~1, O~2",0.0608,0.1639,0.0443,0.98
NSC_1003,29,"C~1, C~2, H~1, N~1, O~1, O~2",0.0609,0.1442,0.0421,0.9787
NSC_10014,20,"C~1, H~1, N~1, O~1, O~2, S~2",0.061,0.139,0.0498,0.9885
NSC_100738,21,"C~1, C~2, H~1, O~1, O~2",0.0614,0.1491,0.0431,0.9805
NSC_10047,20,"C~1, C~2, H~1, N~2, O~1, O~2",0.0626,0.1311,0.0487,0.9839
NSC_100732,23,"C~1, C~2, H~1, N~2, O~1, O~2, S~1",0.063,0.1398,0.0492,0.9784
NSC_10005,21,"C~2, H~1, N~1, N~2, O~2",0.0633,0.1652,0.041,0.9888
NSC_10053,41,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0638,0.1719,0.0452,0.9742
NSC_100054,44,"C~1, C~2, H~1, N~1, O~1, O~2, S~1, S~2",0.0641,0.1411,0.0486,0.9861
NSC_100727,17,"C~1, C~2, H~1, O~1, S~1",0.0642,0.2163,0.0409,0.9443
NSC_100596,36,"C~1, C~2, H~1, N~1, N~2",0.0648,0.246,0.0404,0.9599
NSC_10027,25,"C~1, C~2, H~1, N~1, S~2",0.0652,0.2423,0.0391,0.9607
NSC_100133,33,"C~1, C~2, H~1, N~1, N~2, S~2",0.0654,0.241,0.0388,0.9626
NSC_10007,19,"C~1, C~2, H~1, N~1, O~2, S~2",0.0656,0.1629,0.0502,0.985
NSC_100137,30,"C~1, C~2, H~1, N~1, N~2, O~2",0.0656,0.2424,0.0411,0.972
NSC_10021,53,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0656,0.2159,0.047,0.9694
NSC_100618,21,"C~1, C~2, H~1, N~1, O~2",0.0671,0.1972,0.048,0.9851
NSC_100166,26,"C~1, C~2, H~1, N~1, O~2",0.0674,0.2343,0.0401,0.9655
NSC_100347,22,"C~1, C~2, H~1, N~1, N~2, O~1, O~2, S~2",0.0678,0.2005,0.0507,0.9874
NSC_100784,31,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0678,0.2356,0.048,0.982
NSC_100417,12,"C~2, H~1, N~1, O~1, O~2",0.0682,0.103,0.0606,0.9925
NSC_100109,29,"C~1, C~2, H~1, N~1, N~2, O~2",0.0684,0.2421,0.0447,0.9764
NSC_100279,39,"C~1, C~2, H~1, N~1, N~2, O~1",0.0685,0.2823,0.0443,0.976
NSC_100135,40,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0691,0.2267,0.0511,0.9743
NSC_100408,18,"C~1, C~2, H~1, N~1, N~2, O~2",0.0691,0.1543,0.0534,0.9685
NSC_100467,17,"C~1, C~2, H~1, N~1, O~2, S~2",0.0699,0.1441,0.054,0.9792
NSC_100774,42,"C~1, C~2, H~1, N~1, N~2, O~1, O~2, S~2",0.0699,0.1423,0.0576,0.9819
NSC_10025,21,"C~1, C~2, H~1, N~1, N~2, S~1, S~2",0.07,0.2023,0.051,0.967
NSC_10041,26,"C~1, C~2, H~1, O~2",0.0714,0.2941,0.0435,0.9606
NSC_10055,12,"C~2, H~1, O~1, O~2, S~1",0.0716,0.1218,0.0651,0.9871
NSC_100013,26,"C~2, H~1, N~1, O~2",0.0727,0.2544,0.0462,0.9605
NSC_100044,35,"C~1, C~2, H~1, N~1, N~2, O~1",0.0737,0.282,0.0482,0.9781
NSC_100741,28,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0746,0.2036,0.0546,0.957
NSC_100415,21,"C~2, H~1, N~1, N~2, O~1, O~2",0.076,0.1607,0.0621,0.9767
NSC_100053,41,"C~1, C~2, H~1, N~1, N~2, O~1, O~2, S~1",0.0768,0.2409,0.0568,0.9583
NSC_10059,23,"C~1, C~2, H~1, N~2, O~1, O~2",0.0785,0.1438,0.0635,0.9539
NSC_100235,35,"C~1, C~2, H~1, N~2, O~1, O~2",0.0803,0.1561,0.0624,0.9326
NSC_100411,21,"C~2, H~1, N~1, N~2, O~2, S~2",0.0804,0.1847,0.0638,0.9699
NSC_100049,66,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0806,0.2374,0.0622,0.9697
NSC_10065,35,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0809,0.266,0.0547,0.9663
NSC_10048,24,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.082,0.1577,0.0693,0.9666
NSC_100750,25,"C~2, H~1, N~1, N~2, O~1, O~2",0.0823,0.2089,0.0583,0.9532
NSC_100278,32,"C~1, C~2, H~1, N~1, N~2, O~1, S~2",0.0828,0.2703,0.0577,0.9672
NSC_100035,30,"C~1, C~2, H~1, N~1, N~2, O~1, S~1",0.0838,0.2694,0.0639,0.9716
NSC_100615,22,"C~2, H~1, O~1, O~2, S~2",0.0868,0.225,0.0701,0.9813
NSC_100146,13,"C~1, C~2, H~1, N~2, O~1",0.0891,0.1861,0.0594,0.9283
NSC_100208,26,"C~2, H~1, N~2, O~1, O~2",0.0903,0.2862,0.0626,0.9519
NSC_10013,20,"C~2, H~1, N~1, N~2, O~1, O~2, S~1",0.0913,0.1559,0.0781,0.9625
NSC_100143,18,"C~1, C~2, H~1, N~1, N~2, S~1",0.0925,0.2174,0.0702,0.9357
NSC_100063,59,"C~1, C~2, H~1, N~2, O~1, O~2",0.096,0.5324,0.0376,0.8918
NSC_100729,18,"C~2, H~1, N~2, O~1",0.0998,0.297,0.0668,0.95
NSC_100691,34,"C~1, C~2, H~1, O~1, O~2, S~2",0.1084,0.4741,0.0485,0.9306
NSC_100228,35,"C~1, C~2, H~1, O~2, S~2",0.1651,0.5028,0.0804,0.9025
