name, num. of atoms, atomic types, rmsd, max. deviation, av. deviation, pearson**2
NSC_136588,35,"C, Cl, F, H, N, O, S",0.0749,0.2616,0.0557,0.9786
NSC_106284,19,"C, H, N, O",0.075,0.2273,0.0528,0.9178
NSC_166779,27,"C, H, I, O, S",0.075,0.2324,0.0495,0.9827
NSC_112898,30,"C, H, N, O, S",0.075,0.218,0.0519,0.9896
NSC_741096,40,"C, Cl, H, I, N, O, S",0.075,0.228,0.0592,0.9827
NSC_94527,37,"C, H, I, O",0.0751,0.2222,0.054,0.9408
NSC_102275,51,"C, H, N, O",0.0751,0.2923,0.0525,0.9316
NSC_112742,31,"C, H, N, S",0.0751,0.3398,0.0445,0.9161
NSC_10253,12,"C, Cl, F, H",0.0751,0.1456,0.058,0.9349
NSC_10829,27,"Br, C, F, H, O",0.0751,0.2162,0.0502,0.9536
NSC_153550,20,"C, H, I, N, O",0.0751,0.1609,0.0559,0.9714
NSC_151025,24,"C, F, H, N, O, S",0.0751,0.2411,0.0547,0.985
NSC_108806,20,"C, Cl, H, O, S",0.0752,0.167,0.0565,0.9473
NSC_116773,33,"C, H, I, O",0.0752,0.2239,0.0543,0.9608
NSC_77051,21,"C, Cl, H, O, S",0.0752,0.2281,0.0538,0.9862
NSC_1204,13,"C, H, I, O",0.0752,0.1668,0.0584,0.9711
NSC_290748,33,"C, H, I, N, O, S",0.0752,0.2539,0.0516,0.9264
NSC_101359,31,"C, H, N, O, S",0.0752,0.2915,0.0448,0.9113
NSC_114477,28,"C, H, N, O",0.0752,0.2627,0.0538,0.9218
NSC_118317,29,"C, F, H, N, O",0.0752,0.2148,0.0536,0.9515
NSC_100989,31,"C, H, N, O",0.0752,0.278,0.0496,0.9307
NSC_10434,25,"C, H, N, O, S",0.0753,0.1875,0.0515,0.9862
NSC_15869,30,"C, H, O, S",0.0753,0.1305,0.0632,0.9684
NSC_103842,46,"C, H, I, N",0.0753,0.1758,0.0565,0.9224
